Time Segment,Dominant Label,Agent Action
0.00-6.00 sec,elephant (human subject),unknown_action
6.00-12.00 sec,salsa dance,unknown_action
12.00-18.00 sec,salsa dance,unknown_action
18.00-24.00 sec,salsa dance,unknown_action
24.00-30.00 sec,salsa dance,unknown_action
30.00-36.00 sec,salsa dance,unknown_action
36.00-42.00 sec,salsa dance,unknown_action
42.00-48.00 sec,"walking, running, kicking, punching, knee kicking, and stretching",unknown_action
48.00-54.00 sec,nursery rhyme - Cock Robin,unknown_action
54.00-60.00 sec,nursery rhyme - Cock Robin,unknown_action
60.00-66.00 sec,salsa dance,unknown_action
66.00-72.00 sec,salsa dance,unknown_action
72.00-78.00 sec,salsa dance,unknown_action
78.00-84.00 sec,salsa dance,unknown_action
84.00-90.00 sec,salsa dance,unknown_action
90.00-96.00 sec,salsa dance,unknown_action
96.00-102.00 sec,snake (human subject),unknown_action
102.00-108.00 sec,salsa dance,unknown_action
108.00-114.00 sec,salsa dance,unknown_action
114.00-120.00 sec,salsa dance,unknown_action
120.00-126.00 sec,salsa dance,unknown_action
126.00-132.00 sec,salsa dance,unknown_action
132.00-138.00 sec,salsa dance,unknown_action
138.00-144.00 sec,salsa dance,unknown_action
144.00-150.00 sec,salsa dance,unknown_action
150.00-156.00 sec,nursery rhyme - Cock Robin,unknown_action
156.00-162.00 sec,nursery rhyme - Cock Robin,unknown_action
162.00-168.00 sec,salsa dance,unknown_action
168.00-174.00 sec,salsa dance,unknown_action
174.00-180.00 sec,nursery rhyme - Cock Robin,unknown_action
180.00-186.00 sec,salsa dance,unknown_action
186.00-192.00 sec,salsa dance,unknown_action
192.00-198.00 sec,salsa dance,unknown_action
198.00-204.00 sec,salsa dance,unknown_action
204.00-210.00 sec,salsa dance,unknown_action
210.00-216.00 sec,salsa dance,unknown_action
